"source_string","translated_string","context"
"Welcome back, {0} 👋","Tekrar hoş geldiniz, {0} 👋",""
"Hello! 👋\n\nPlease enter your **Employee Number** only (e.g. 31)\nor press **Link Token** to link your account:","Merhaba! 👋\n\nLütfen yalnızca **Çalışan Numaranızı** girin (örn. 31)\nveya hesabınızı bağlamak için **Token bağla**'ya basın:",""
"🔗 Send the **Token** from Telegram User Settings (copy and paste here):\n\nOr press **Cancel** to go back.","🔗 Telegram User Settings'ten **Token**'ı gönderin (buraya kopyalayıp yapıştırın):\n\nVeya geri dönmek için **İptal**'e basın.",""
"❌ Numbers only (e.g. 31)\nor press **Link Token** to link your account:","❌ Sadece rakamlar (örn. 31)\nveya hesabınızı bağlamak için **Token bağla**'ya basın:",""
"⏳ Searching...","⏳ Aranıyor...",""
"❌ Employee not found. Try again\nor press **Link Token** to link your account:","❌ Çalışan bulunamadı. Tekrar deneyin\nveya hesabınızı bağlamak için **Token bağla**'ya basın:",""
"Hello {0} ({1}).\n🔒 Enter **password**:","Merhaba {0} ({1}).\n🔒 **Şifre** girin:",""
"✅ Logged in.\nHello {0}","✅ Giriş yapıldı.\nMerhaba {0}",""
"❌ Wrong password. /start","❌ Yanlış şifre. /start",""
"Logged out 👋","Çıkış yapıldı 👋",""
"📅 Leave start date:","📅 İzin başlangıç tarihi:",""
"Choose from menu:","Menüden seçin:",""
"Cancelled.","İptal edildi.",""
"Cancelled.\n\nPlease enter **Employee Number** (e.g. 31):","İptal edildi.\n\nLütfen **Çalışan Numarası** girin (örn. 31):",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.","✅ Chat ID başarıyla kaydedildi!\n\nChat ID: `{0}`\n\nKaydedilen değeri görmek için Telegram User Settings formunu yenileyin.",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.\n\nPlease enter **Employee Number** (e.g. 31):","✅ Chat ID başarıyla kaydedildi!\n\nChat ID: `{0}`\n\nKaydedilen değeri görmek için Telegram User Settings formunu yenileyin.\n\nLütfen **Çalışan Numarası** girin (örn. 31):",""
"⚠️ Unknown token. Make sure it was created in Telegram User Settings and linked to the same bot (Telegram Settings with Interactive Bot enabled).\n\nTry again or press **Cancel**:","⚠️ Bilinmeyen token. Telegram User Settings'te oluşturulduğundan ve aynı bota bağlandığından emin olun (Interactive Bot etkin Telegram Settings).\n\nTekrar deneyin veya **İptal**'e basın:",""
"Please send the token only (40 chars) or press **Cancel**:","Lütfen yalnızca token'ı gönderin (40 karakter) veya **İptal**'e basın:",""
"⚠️ I didn't understand. Send /start to begin again.","⚠️ Anlamadım. Tekrar başlamak için /start gönderin.",""
"📅 Use the calendar above to select, or send **Cancel** to cancel.","📅 Seçim için yukarıdaki takvimi kullanın veya iptal etmek için **İptal** gönderin.",""
"✅ Start: {0}\n\n📅 End date:","✅ Başlangıç: {0}\n\n📅 Bitiş tarihi:",""
"⏳ Verifying...","⏳ Doğrulanıyor...",""
"❌ No leave types available.","❌ Kullanılabilir izin türü yok.",""
"👇 Leave type:","👇 İzin türü:",""
"❌ Choose leave type from the list:","❌ Listeden izin türü seçin:",""
"Duration:","Süre:",""
"❌ Choose from list:","❌ Listeden seçin:",""
"Leave reason (or 'Skip'):","İzin nedeni (veya 'Atla'):",""
"⏳ Submitting...","⏳ Gönderiliyor...",""
"❌ Failed: {0}","❌ Başarısız: {0}",""
"✅ Submitted: {0}","✅ Gönderildi: {0}",""
"⚠️ An error occurred. Please try again.","⚠️ Bir hata oluştu. Lütfen tekrar deneyin.",""
"⛔ Attendance already marked for this day.","⛔ Bu gün için devam zaten işaretlenmiş.",""
"Date is outside leave allocation period.","Tarih izin tahsis döneminin dışında.",""
"Insufficient leave balance.","Yetersiz izin bakiyesi.",""
"⛔ Leave application already exists for this period.","⛔ Bu dönem için zaten bir izin başvurusu var.",""
"An unknown error occurred.","Bilinmeyen bir hata oluştu.",""
