"source_string","translated_string","context"
"Welcome back, {0} 👋","おかえりなさい、{0} 👋",""
"Hello! 👋\n\nPlease enter your **Employee Number** only (e.g. 31)\nor press **Link Token** to link your account:","こんにちは！👋\n\n**社員番号**のみ入力してください（例：31）\nまたは**トークンをリンク**を押してアカウントをリンクしてください：",""
"🔗 Send the **Token** from Telegram User Settings (copy and paste here):\n\nOr press **Cancel** to go back.","🔗 Telegram User Settingsから**トークン**を送信してください（ここにコピー＆ペースト）：\n\nまたは**キャンセル**を押して戻ってください。",""
"❌ Numbers only (e.g. 31)\nor press **Link Token** to link your account:","❌ 数字のみ（例：31）\nまたは**トークンをリンク**を押してアカウントをリンクしてください：",""
"⏳ Searching...","⏳ 検索中...",""
"❌ Employee not found. Try again\nor press **Link Token** to link your account:","❌ 社員が見つかりません。もう一度お試しください\nまたは**トークンをリンク**を押してアカウントをリンクしてください：",""
"Hello {0} ({1}).\n🔒 Enter **password**:","こんにちは {0} ({1})。\n🔒 **パスワード**を入力してください：",""
"✅ Logged in.\nHello {0}","✅ ログインしました。こんにちは {0}",""
"❌ Wrong password. /start","❌ パスワードが間違っています。 /start",""
"Logged out 👋","ログアウトしました 👋",""
"📅 Leave start date:","📅 休暇開始日：",""
"Choose from menu:","メニューから選択：",""
"Cancelled.","キャンセルしました。",""
"Cancelled.\n\nPlease enter **Employee Number** (e.g. 31):","キャンセルしました。\n\n**社員番号**を入力してください（例：31）：",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.","✅ Chat IDが正常に保存されました！\n\nChat ID: `{0}`\n\n保存された値を確認するにはTelegram User Settingsフォームを更新してください。",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.\n\nPlease enter **Employee Number** (e.g. 31):","✅ Chat IDが正常に保存されました！\n\nChat ID: `{0}`\n\n保存された値を確認するにはTelegram User Settingsフォームを更新してください。\n\n**社員番号**を入力してください（例：31）：",""
"⚠️ Unknown token. Make sure it was created in Telegram User Settings and linked to the same bot (Telegram Settings with Interactive Bot enabled).\n\nTry again or press **Cancel**:","⚠️ 不明なトークン。Telegram User Settingsで作成され、同じボット（Interactive Botが有効なTelegram Settings）にリンクされていることを確認してください。\n\nもう一度お試しくださいまたは**キャンセル**を押してください：",""
"Please send the token only (40 chars) or press **Cancel**:","トークンのみ（40文字）を送信するか、**キャンセル**を押してください：",""
"⚠️ I didn't understand. Send /start to begin again.","⚠️ 理解できませんでした。最初からやり直すには /start を送信してください。",""
"📅 Use the calendar above to select, or send **Cancel** to cancel.","📅 上のカレンダーで選択するか、**キャンセル**を送信してキャンセルしてください。",""
"✅ Start: {0}\n\n📅 End date:","✅ 開始：{0}\n\n📅 終了日：",""
"⏳ Verifying...","⏳ 確認中...",""
"❌ No leave types available.","❌ 利用可能な休暇タイプがありません。",""
"👇 Leave type:","👇 休暇タイプ：",""
"❌ Choose leave type from the list:","❌ リストから休暇タイプを選択してください：",""
"Duration:","期間：",""
"❌ Choose from list:","❌ リストから選択：",""
"Leave reason (or 'Skip'):","休暇理由（または「スキップ」）：",""
"⏳ Submitting...","⏳ 送信中...",""
"❌ Failed: {0}","❌ 失敗：{0}",""
"✅ Submitted: {0}","✅ 送信しました：{0}",""
"⚠️ An error occurred. Please try again.","⚠️ エラーが発生しました。もう一度お試しください。",""
"⛔ Attendance already marked for this day.","⛔ この日の勤怠は既に記録されています。",""
"Date is outside leave allocation period.","日付が休暇割当期間外です。",""
"Insufficient leave balance.","休暇残高が不足しています。",""
"⛔ Leave application already exists for this period.","⛔ この期間の休暇申請は既に存在します。",""
"An unknown error occurred.","不明なエラーが発生しました。",""
