"source_string","translated_string","context"
"Welcome back, {0} 👋","欢迎回来，{0} 👋",""
"Hello! 👋\n\nPlease enter your **Employee Number** only (e.g. 31)\nor press **Link Token** to link your account:","你好！👋\n\n请输入您的**员工编号**（例如：31）\n或点击**链接令牌**关联您的账户：",""
"🔗 Send the **Token** from Telegram User Settings (copy and paste here):\n\nOr press **Cancel** to go back.","🔗 从 Telegram User Settings 发送**令牌**（复制并粘贴到此处）：\n\n或点击**取消**返回。",""
"❌ Numbers only (e.g. 31)\nor press **Link Token** to link your account:","❌ 仅限数字（例如：31）\n或点击**链接令牌**关联您的账户：",""
"⏳ Searching...","⏳ 搜索中...",""
"❌ Employee not found. Try again\nor press **Link Token** to link your account:","❌ 未找到员工。请重试\n或点击**链接令牌**关联您的账户：",""
"Hello {0} ({1}).\n🔒 Enter **password**:","你好 {0} ({1})。\n🔒 请输入**密码**：",""
"✅ Logged in.\nHello {0}","✅ 已登录。你好 {0}",""
"❌ Wrong password. /start","❌ 密码错误。 /start",""
"Logged out 👋","已退出登录 👋",""
"📅 Leave start date:","📅 请假开始日期：",""
"Choose from menu:","请从菜单选择：",""
"Cancelled.","已取消。",""
"Cancelled.\n\nPlease enter **Employee Number** (e.g. 31):","已取消。\n\n请输入**员工编号**（例如：31）：",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.","✅ Chat ID 保存成功！\n\nChat ID：`{0}`\n\n刷新 Telegram User Settings 表单以查看保存的值。",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.\n\nPlease enter **Employee Number** (e.g. 31):","✅ Chat ID 保存成功！\n\nChat ID：`{0}`\n\n刷新 Telegram User Settings 表单以查看保存的值。\n\n请输入**员工编号**（例如：31）：",""
"⚠️ Unknown token. Make sure it was created in Telegram User Settings and linked to the same bot (Telegram Settings with Interactive Bot enabled).\n\nTry again or press **Cancel**:","⚠️ 未知令牌。请确保已在 Telegram User Settings 中创建并链接到同一机器人（已启用 Interactive Bot 的 Telegram Settings）。\n\n请重试或点击**取消**：",""
"Please send the token only (40 chars) or press **Cancel**:","请仅发送令牌（40个字符）或点击**取消**：",""
"⚠️ I didn't understand. Send /start to begin again.","⚠️ 未理解。发送 /start 重新开始。",""
"📅 Use the calendar above to select, or send **Cancel** to cancel.","📅 使用上方日历选择，或发送**取消**以取消。",""
"✅ Start: {0}\n\n📅 End date:","✅ 开始：{0}\n\n📅 结束日期：",""
"⏳ Verifying...","⏳ 验证中...",""
"❌ No leave types available.","❌ 无可用请假类型。",""
"👇 Leave type:","👇 请假类型：",""
"❌ Choose leave type from the list:","❌ 请从列表中选择请假类型：",""
"Duration:","时长：",""
"❌ Choose from list:","❌ 请从列表中选择：",""
"Leave reason (or 'Skip'):","请假原因（或“跳过”）：",""
"⏳ Submitting...","⏳ 提交中...",""
"❌ Failed: {0}","❌ 失败：{0}",""
"✅ Submitted: {0}","✅ 已提交：{0}",""
"⚠️ An error occurred. Please try again.","⚠️ 发生错误。请重试。",""
"⛔ Attendance already marked for this day.","⛔ 当日考勤已记录。",""
"Date is outside leave allocation period.","日期超出假期分配期限。",""
"Insufficient leave balance.","假期余额不足。",""
"⛔ Leave application already exists for this period.","⛔ 该时段已有请假申请。",""
"An unknown error occurred.","发生未知错误。",""
