"source_string","translated_string","context"
"Welcome back, {0} 👋","Witaj ponownie, {0} 👋",""
"Hello! 👋\n\nPlease enter your **Employee Number** only (e.g. 31)\nor press **Link Token** to link your account:","Cześć! 👋\n\nWprowadź tylko swój **Numer pracownika** (np. 31)\nlub naciśnij **Połącz token**, aby połączyć konto:",""
"🔗 Send the **Token** from Telegram User Settings (copy and paste here):\n\nOr press **Cancel** to go back.","🔗 Wyślij **Token** z Telegram User Settings (skopiuj i wklej tutaj):\n\nLub naciśnij **Anuluj**, aby wrócić.",""
"❌ Numbers only (e.g. 31)\nor press **Link Token** to link your account:","❌ Tylko cyfry (np. 31)\nlub naciśnij **Połącz token**, aby połączyć konto:",""
"⏳ Searching...","⏳ Szukam...",""
"❌ Employee not found. Try again\nor press **Link Token** to link your account:","❌ Pracownik nie znaleziony. Spróbuj ponownie\nlub naciśnij **Połącz token**, aby połączyć konto:",""
"Hello {0} ({1}).\n🔒 Enter **password**:","Cześć {0} ({1}).\n🔒 Wprowadź **hasło**:",""
"✅ Logged in.\nHello {0}","✅ Zalogowano.\nCześć {0}",""
"❌ Wrong password. /start","❌ Nieprawidłowe hasło. /start",""
"Logged out 👋","Wylogowano 👋",""
"📅 Leave start date:","📅 Data rozpoczęcia urlopu:",""
"Choose from menu:","Wybierz z menu:",""
"Cancelled.","Anulowano.",""
"Cancelled.\n\nPlease enter **Employee Number** (e.g. 31):","Anulowano.\n\nWprowadź **Numer pracownika** (np. 31):",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.","✅ Chat ID zapisany pomyślnie!\n\nChat ID: `{0}`\n\nOdśwież formularz Telegram User Settings, aby zobaczyć zapisaną wartość.",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.\n\nPlease enter **Employee Number** (e.g. 31):","✅ Chat ID zapisany pomyślnie!\n\nChat ID: `{0}`\n\nOdśwież formularz Telegram User Settings, aby zobaczyć zapisaną wartość.\n\nWprowadź **Numer pracownika** (np. 31):",""
"⚠️ Unknown token. Make sure it was created in Telegram User Settings and linked to the same bot (Telegram Settings with Interactive Bot enabled).\n\nTry again or press **Cancel**:","⚠️ Nieznany token. Upewnij się, że został utworzony w Telegram User Settings i połączony z tym samym botem (Telegram Settings z włączonym Interactive Bot).\n\nSpróbuj ponownie lub naciśnij **Anuluj**:",""
"Please send the token only (40 chars) or press **Cancel**:","Wyślij tylko token (40 znaków) lub naciśnij **Anuluj**:",""
"⚠️ I didn't understand. Send /start to begin again.","⚠️ Nie zrozumiałem. Wyślij /start, aby zacząć od nowa.",""
"📅 Use the calendar above to select, or send **Cancel** to cancel.","📅 Użyj kalendarza powyżej do wyboru lub wyślij **Anuluj**, aby anulować.",""
"✅ Start: {0}\n\n📅 End date:","✅ Początek: {0}\n\n📅 Data zakończenia:",""
"⏳ Verifying...","⏳ Weryfikacja...",""
"❌ No leave types available.","❌ Brak dostępnych typów urlopu.",""
"👇 Leave type:","👇 Typ urlopu:",""
"❌ Choose leave type from the list:","❌ Wybierz typ urlopu z listy:",""
"Duration:","Czas trwania:",""
"❌ Choose from list:","❌ Wybierz z listy:",""
"Leave reason (or 'Skip'):","Powód urlopu (lub 'Pomiń'):",""
"⏳ Submitting...","⏳ Wysyłanie...",""
"❌ Failed: {0}","❌ Niepowodzenie: {0}",""
"✅ Submitted: {0}","✅ Wysłano: {0}",""
"⚠️ An error occurred. Please try again.","⚠️ Wystąpił błąd. Spróbuj ponownie.",""
"⛔ Attendance already marked for this day.","⛔ Obecność już odnotowana na ten dzień.",""
"Date is outside leave allocation period.","Data jest poza okresem przydziału urlopu.",""
"Insufficient leave balance.","Niewystarczający bilans urlopu.",""
"⛔ Leave application already exists for this period.","⛔ Wniosek urlopowy już istnieje na ten okres.",""
"An unknown error occurred.","Wystąpił nieznany błąd.",""
