"source_string","translated_string","context"
"Welcome back, {0} 👋","ยินดีต้อนรับกลับ {0} 👋",""
"Hello! 👋\n\nPlease enter your **Employee Number** only (e.g. 31)\nor press **Link Token** to link your account:","สวัสดี! 👋\n\nกรุณาใส่ **หมายเลขพนักงาน** เท่านั้น (เช่น 31)\nหรือกด **ลิงก์โทเค็น** เพื่อเชื่อมโยงบัญชีของคุณ:",""
"🔗 Send the **Token** from Telegram User Settings (copy and paste here):\n\nOr press **Cancel** to go back.","🔗 ส่ง **โทเค็น** จาก Telegram User Settings (คัดลอกและวางที่นี่):\n\nหรือกด **ยกเลิก** เพื่อกลับ",""
"❌ Numbers only (e.g. 31)\nor press **Link Token** to link your account:","❌ เฉพาะตัวเลข (เช่น 31)\nหรือกด **ลิงก์โทเค็น** เพื่อเชื่อมโยงบัญชีของคุณ:",""
"⏳ Searching...","⏳ กำลังค้นหา...",""
"❌ Employee not found. Try again\nor press **Link Token** to link your account:","❌ ไม่พบพนักงาน ลองอีกครั้ง\nหรือกด **ลิงก์โทเค็น** เพื่อเชื่อมโยงบัญชีของคุณ:",""
"Hello {0} ({1}).\n🔒 Enter **password**:","สวัสดี {0} ({1}).\n🔒 กรุณาใส่ **รหัสผ่าน**:",""
"✅ Logged in.\nHello {0}","✅ เข้าสู่ระบบแล้ว\nสวัสดี {0}",""
"❌ Wrong password. /start","❌ รหัสผ่านผิด /start",""
"Logged out 👋","ออกจากระบบแล้ว 👋",""
"📅 Leave start date:","📅 วันที่เริ่มลางาน:",""
"Choose from menu:","เลือกจากเมนู:",""
"Cancelled.","ยกเลิกแล้ว",""
"Cancelled.\n\nPlease enter **Employee Number** (e.g. 31):","ยกเลิกแล้ว\n\nกรุณาใส่ **หมายเลขพนักงาน** (เช่น 31):",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.","✅ บันทึก Chat ID สำเร็จ!\n\nChat ID: `{0}`\n\nรีเฟรชฟอร์ม Telegram User Settings เพื่อดูค่าที่บันทึก",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.\n\nPlease enter **Employee Number** (e.g. 31):","✅ บันทึก Chat ID สำเร็จ!\n\nChat ID: `{0}`\n\nรีเฟรชฟอร์ม Telegram User Settings เพื่อดูค่าที่บันทึก\n\nกรุณาใส่ **หมายเลขพนักงาน** (เช่น 31):",""
"⚠️ Unknown token. Make sure it was created in Telegram User Settings and linked to the same bot (Telegram Settings with Interactive Bot enabled).\n\nTry again or press **Cancel**:","⚠️ โทเค็นไม่รู้จัก ตรวจสอบว่าสร้างใน Telegram User Settings และเชื่อมโยงกับบอทเดียวกัน (Telegram Settings ที่เปิด Interactive Bot)\n\nลองอีกครั้งหรือกด **ยกเลิก**:",""
"Please send the token only (40 chars) or press **Cancel**:","กรุณาส่งเฉพาะโทเค็น (40 ตัวอักษร) หรือกด **ยกเลิก**:",""
"⚠️ I didn't understand. Send /start to begin again.","⚠️ ไม่เข้าใจ ส่ง /start เพื่อเริ่มใหม่",""
"📅 Use the calendar above to select, or send **Cancel** to cancel.","📅 ใช้ปฏิทินด้านบนเพื่อเลือก หรือส่ง **ยกเลิก** เพื่อยกเลิก",""
"✅ Start: {0}\n\n📅 End date:","✅ เริ่ม: {0}\n\n📅 วันที่สิ้นสุด:",""
"⏳ Verifying...","⏳ กำลังตรวจสอบ...",""
"❌ No leave types available.","❌ ไม่มีประเภทการลาพร้อมใช้งาน",""
"👇 Leave type:","👇 ประเภทการลา:",""
"❌ Choose leave type from the list:","❌ เลือกประเภทการลาจากรายการ:",""
"Duration:","ระยะเวลา:",""
"❌ Choose from list:","❌ เลือกจากรายการ:",""
"Leave reason (or 'Skip'):","เหตุผลการลา (หรือ 'ข้าม'):",""
"⏳ Submitting...","⏳ กำลังส่ง...",""
"❌ Failed: {0}","❌ ล้มเหลว: {0}",""
"✅ Submitted: {0}","✅ ส่งแล้ว: {0}",""
"⚠️ An error occurred. Please try again.","⚠️ เกิดข้อผิดพลาด กรุณาลองอีกครั้ง",""
"⛔ Attendance already marked for this day.","⛔ บันทึกการเข้างานสำหรับวันนี้แล้ว",""
"Date is outside leave allocation period.","วันที่อยู่นอกช่วงการจัดสรรการลา",""
"Insufficient leave balance.","ยอดการลาไม่เพียงพอ",""
"⛔ Leave application already exists for this period.","⛔ มีคำขอลาสำหรับช่วงนี้แล้ว",""
"An unknown error occurred.","เกิดข้อผิดพลาดที่ไม่ทราบสาเหตุ",""
