"source_string","translated_string","context"
"Welcome back, {0} 👋","Selamat datang kembali, {0} 👋",""
"Hello! 👋\n\nPlease enter your **Employee Number** only (e.g. 31)\nor press **Link Token** to link your account:","Halo! 👋\n\nMasukkan hanya **Nomor Karyawan** Anda (mis. 31)\natau tekan **Tautkan token** untuk menghubungkan akun Anda:",""
"🔗 Send the **Token** from Telegram User Settings (copy and paste here):\n\nOr press **Cancel** to go back.","🔗 Kirim **Token** dari Telegram User Settings (salin dan tempel di sini):\n\nAtau tekan **Batal** untuk kembali.",""
"❌ Numbers only (e.g. 31)\nor press **Link Token** to link your account:","❌ Hanya angka (mis. 31)\natau tekan **Tautkan token** untuk menghubungkan akun Anda:",""
"⏳ Searching...","⏳ Mencari...",""
"❌ Employee not found. Try again\nor press **Link Token** to link your account:","❌ Karyawan tidak ditemukan. Coba lagi\natau tekan **Tautkan token** untuk menghubungkan akun Anda:",""
"Hello {0} ({1}).\n🔒 Enter **password**:","Halo {0} ({1}).\n🔒 Masukkan **kata sandi**:",""
"✅ Logged in.\nHello {0}","✅ Berhasil masuk.\nHalo {0}",""
"❌ Wrong password. /start","❌ Kata sandi salah. /start",""
"Logged out 👋","Berhasil keluar 👋",""
"📅 Leave start date:","📅 Tanggal mulai cuti:",""
"Choose from menu:","Pilih dari menu:",""
"Cancelled.","Dibatalkan.",""
"Cancelled.\n\nPlease enter **Employee Number** (e.g. 31):","Dibatalkan.\n\nMasukkan **Nomor Karyawan** (mis. 31):",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.","✅ Chat ID berhasil disimpan!\n\nChat ID: `{0}`\n\nSegarkan formulir Telegram User Settings untuk melihat nilai yang disimpan.",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.\n\nPlease enter **Employee Number** (e.g. 31):","✅ Chat ID berhasil disimpan!\n\nChat ID: `{0}`\n\nSegarkan formulir Telegram User Settings untuk melihat nilai yang disimpan.\n\nMasukkan **Nomor Karyawan** (mis. 31):",""
"⚠️ Unknown token. Make sure it was created in Telegram User Settings and linked to the same bot (Telegram Settings with Interactive Bot enabled).\n\nTry again or press **Cancel**:","⚠️ Token tidak dikenal. Pastikan dibuat di Telegram User Settings dan ditautkan ke bot yang sama (Telegram Settings dengan Interactive Bot diaktifkan).\n\nCoba lagi atau tekan **Batal**:",""
"Please send the token only (40 chars) or press **Cancel**:","Kirim hanya token (40 karakter) atau tekan **Batal**:",""
"⚠️ I didn't understand. Send /start to begin again.","⚠️ Saya tidak mengerti. Kirim /start untuk memulai lagi.",""
"📅 Use the calendar above to select, or send **Cancel** to cancel.","📅 Gunakan kalender di atas untuk memilih, atau kirim **Batal** untuk membatalkan.",""
"✅ Start: {0}\n\n📅 End date:","✅ Mulai: {0}\n\n📅 Tanggal berakhir:",""
"⏳ Verifying...","⏳ Memverifikasi...",""
"❌ No leave types available.","❌ Tidak ada jenis cuti yang tersedia.",""
"👇 Leave type:","👇 Jenis cuti:",""
"❌ Choose leave type from the list:","❌ Pilih jenis cuti dari daftar:",""
"Duration:","Durasi:",""
"❌ Choose from list:","❌ Pilih dari daftar:",""
"Leave reason (or 'Skip'):","Alasan cuti (atau 'Lewati'):",""
"⏳ Submitting...","⏳ Mengirim...",""
"❌ Failed: {0}","❌ Gagal: {0}",""
"✅ Submitted: {0}","✅ Terkirim: {0}",""
"⚠️ An error occurred. Please try again.","⚠️ Terjadi kesalahan. Silakan coba lagi.",""
"⛔ Attendance already marked for this day.","⛔ Kehadiran sudah dicatat untuk hari ini.",""
"Date is outside leave allocation period.","Tanggal di luar periode alokasi cuti.",""
"Insufficient leave balance.","Saldo cuti tidak mencukupi.",""
"⛔ Leave application already exists for this period.","⛔ Pengajuan cuti sudah ada untuk periode ini.",""
"An unknown error occurred.","Terjadi kesalahan yang tidak diketahui.",""
