"source_string","translated_string","context"
"Welcome back, {0} 👋","Bon retour, {0} 👋",""
"Hello! 👋\n\nPlease enter your **Employee Number** only (e.g. 31)\nor press **Link Token** to link your account:","Bonjour ! 👋\n\nEntrez uniquement votre **Numéro d'employé** (ex. 31)\nou appuyez sur **Lier le jeton** pour lier votre compte :",""
"🔗 Send the **Token** from Telegram User Settings (copy and paste here):\n\nOr press **Cancel** to go back.","🔗 Envoyez le **Jeton** depuis Telegram User Settings (copiez-collez ici) :\n\nOu appuyez sur **Annuler** pour revenir.",""
"❌ Numbers only (e.g. 31)\nor press **Link Token** to link your account:","❌ Chiffres uniquement (ex. 31)\nou appuyez sur **Lier le jeton** pour lier votre compte :",""
"⏳ Searching...","⏳ Recherche...",""
"❌ Employee not found. Try again\nor press **Link Token** to link your account:","❌ Employé non trouvé. Réessayez\nou appuyez sur **Lier le jeton** pour lier votre compte :",""
"Hello {0} ({1}).\n🔒 Enter **password**:","Bonjour {0} ({1}).\n🔒 Entrez le **mot de passe** :",""
"✅ Logged in.\nHello {0}","✅ Connecté.\nBonjour {0}",""
"❌ Wrong password. /start","❌ Mot de passe incorrect. /start",""
"Logged out 👋","Déconnecté 👋",""
"📅 Leave start date:","📅 Date de début du congé :",""
"Choose from menu:","Choisissez dans le menu :",""
"Cancelled.","Annulé.",""
"Cancelled.\n\nPlease enter **Employee Number** (e.g. 31):","Annulé.\n\nVeuillez entrer le **Numéro d'employé** (ex. 31) :",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.","✅ Chat ID enregistré avec succès !\n\nChat ID : `{0}`\n\nActualisez le formulaire Telegram User Settings pour voir la valeur enregistrée.",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.\n\nPlease enter **Employee Number** (e.g. 31):","✅ Chat ID enregistré avec succès !\n\nChat ID : `{0}`\n\nActualisez le formulaire Telegram User Settings pour voir la valeur enregistrée.\n\nVeuillez entrer le **Numéro d'employé** (ex. 31) :",""
"⚠️ Unknown token. Make sure it was created in Telegram User Settings and linked to the same bot (Telegram Settings with Interactive Bot enabled).\n\nTry again or press **Cancel**:","⚠️ Jeton inconnu. Assurez-vous qu'il a été créé dans Telegram User Settings et lié au même bot (Telegram Settings avec Interactive Bot activé).\n\nRéessayez ou appuyez sur **Annuler** :",""
"Please send the token only (40 chars) or press **Cancel**:","Veuillez envoyer uniquement le jeton (40 caractères) ou appuyer sur **Annuler** :",""
"⚠️ I didn't understand. Send /start to begin again.","⚠️ Je n'ai pas compris. Envoyez /start pour recommencer.",""
"📅 Use the calendar above to select, or send **Cancel** to cancel.","📅 Utilisez le calendrier ci-dessus pour sélectionner, ou envoyez **Annuler** pour annuler.",""
"✅ Start: {0}\n\n📅 End date:","✅ Début : {0}\n\n📅 Date de fin :",""
"⏳ Verifying...","⏳ Vérification...",""
"❌ No leave types available.","❌ Aucun type de congé disponible.",""
"👇 Leave type:","👇 Type de congé :",""
"❌ Choose leave type from the list:","❌ Choisissez le type de congé dans la liste :",""
"Duration:","Durée :",""
"❌ Choose from list:","❌ Choisissez dans la liste :",""
"Leave reason (or 'Skip'):","Motif du congé (ou 'Passer') :",""
"⏳ Submitting...","⏳ Envoi en cours...",""
"❌ Failed: {0}","❌ Échec : {0}",""
"✅ Submitted: {0}","✅ Soumis : {0}",""
"⚠️ An error occurred. Please try again.","⚠️ Une erreur s'est produite. Veuillez réessayer.",""
"⛔ Attendance already marked for this day.","⛔ Présence déjà enregistrée pour ce jour.",""
"Date is outside leave allocation period.","La date est en dehors de la période d'allocation des congés.",""
"Insufficient leave balance.","Solde de congés insuffisant.",""
"⛔ Leave application already exists for this period.","⛔ Une demande de congé existe déjà pour cette période.",""
"An unknown error occurred.","Une erreur inconnue s'est produite.",""
