"source_string","translated_string","context"
"Welcome back, {0} 👋","Bem-vindo de volta, {0} 👋",""
"Hello! 👋\n\nPlease enter your **Employee Number** only (e.g. 31)\nor press **Link Token** to link your account:","Olá! 👋\n\nDigite apenas o seu **Número de funcionário** (ex: 31)\nou pressione **Vincular token** para vincular sua conta:",""
"🔗 Send the **Token** from Telegram User Settings (copy and paste here):\n\nOr press **Cancel** to go back.","🔗 Envie o **Token** do Telegram User Settings (copie e cole aqui):\n\nOu pressione **Cancelar** para voltar.",""
"❌ Numbers only (e.g. 31)\nor press **Link Token** to link your account:","❌ Apenas números (ex: 31)\nou pressione **Vincular token** para vincular sua conta:",""
"⏳ Searching...","⏳ Pesquisando...",""
"❌ Employee not found. Try again\nor press **Link Token** to link your account:","❌ Funcionário não encontrado. Tente novamente\nou pressione **Vincular token** para vincular sua conta:",""
"Hello {0} ({1}).\n🔒 Enter **password**:","Olá {0} ({1}).\n🔒 Digite a **senha**:",""
"✅ Logged in.\nHello {0}","✅ Conectado.\nOlá {0}",""
"❌ Wrong password. /start","❌ Senha incorreta. /start",""
"Logged out 👋","Desconectado 👋",""
"📅 Leave start date:","📅 Data de início da licença:",""
"Choose from menu:","Escolha no menu:",""
"Cancelled.","Cancelado.",""
"Cancelled.\n\nPlease enter **Employee Number** (e.g. 31):","Cancelado.\n\nDigite o **Número de funcionário** (ex: 31):",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.","✅ Chat ID salvo com sucesso!\n\nChat ID: `{0}`\n\nAtualize o formulário Telegram User Settings para ver o valor salvo.",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.\n\nPlease enter **Employee Number** (e.g. 31):","✅ Chat ID salvo com sucesso!\n\nChat ID: `{0}`\n\nAtualize o formulário Telegram User Settings para ver o valor salvo.\n\nDigite o **Número de funcionário** (ex: 31):",""
"⚠️ Unknown token. Make sure it was created in Telegram User Settings and linked to the same bot (Telegram Settings with Interactive Bot enabled).\n\nTry again or press **Cancel**:","⚠️ Token desconhecido. Certifique-se de que foi criado no Telegram User Settings e vinculado ao mesmo bot (Telegram Settings com Interactive Bot ativado).\n\nTente novamente ou pressione **Cancelar**:",""
"Please send the token only (40 chars) or press **Cancel**:","Envie apenas o token (40 caracteres) ou pressione **Cancelar**:",""
"⚠️ I didn't understand. Send /start to begin again.","⚠️ Não entendi. Envie /start para começar novamente.",""
"📅 Use the calendar above to select, or send **Cancel** to cancel.","📅 Use o calendário acima para selecionar ou envie **Cancelar** para cancelar.",""
"✅ Start: {0}\n\n📅 End date:","✅ Início: {0}\n\n📅 Data de término:",""
"⏳ Verifying...","⏳ Verificando...",""
"❌ No leave types available.","❌ Nenhum tipo de licença disponível.",""
"👇 Leave type:","👇 Tipo de licença:",""
"❌ Choose leave type from the list:","❌ Escolha o tipo de licença na lista:",""
"Duration:","Duração:",""
"❌ Choose from list:","❌ Escolha na lista:",""
"Leave reason (or 'Skip'):","Motivo da licença (ou 'Pular'):",""
"⏳ Submitting...","⏳ Enviando...",""
"❌ Failed: {0}","❌ Falhou: {0}",""
"✅ Submitted: {0}","✅ Enviado: {0}",""
"⚠️ An error occurred. Please try again.","⚠️ Ocorreu um erro. Por favor, tente novamente.",""
"⛔ Attendance already marked for this day.","⛔ Presença já registrada para este dia.",""
"Date is outside leave allocation period.","A data está fora do período de alocação de licenças.",""
"Insufficient leave balance.","Saldo de licenças insuficiente.",""
"⛔ Leave application already exists for this period.","⛔ Já existe uma solicitação de licença para este período.",""
"An unknown error occurred.","Ocorreu um erro desconhecido.",""
