"source_string","translated_string","context"
"Welcome back, {0} 👋","Chào mừng trở lại, {0} 👋",""
"Hello! 👋\n\nPlease enter your **Employee Number** only (e.g. 31)\nor press **Link Token** to link your account:","Xin chào! 👋\n\nVui lòng nhập **Mã nhân viên** (vd: 31)\nhoặc nhấn **Liên kết token** để liên kết tài khoản:",""
"🔗 Send the **Token** from Telegram User Settings (copy and paste here):\n\nOr press **Cancel** to go back.","🔗 Gửi **Token** từ Telegram User Settings (sao chép và dán vào đây):\n\nHoặc nhấn **Hủy** để quay lại.",""
"❌ Numbers only (e.g. 31)\nor press **Link Token** to link your account:","❌ Chỉ số (vd: 31)\nhoặc nhấn **Liên kết token** để liên kết tài khoản:",""
"⏳ Searching...","⏳ Đang tìm kiếm...",""
"❌ Employee not found. Try again\nor press **Link Token** to link your account:","❌ Không tìm thấy nhân viên. Thử lại\nhoặc nhấn **Liên kết token** để liên kết tài khoản:",""
"Hello {0} ({1}).\n🔒 Enter **password**:","Xin chào {0} ({1}).\n🔒 Nhập **mật khẩu**:",""
"✅ Logged in.\nHello {0}","✅ Đã đăng nhập.\nXin chào {0}",""
"❌ Wrong password. /start","❌ Sai mật khẩu. /start",""
"Logged out 👋","Đã đăng xuất 👋",""
"📅 Leave start date:","📅 Ngày bắt đầu nghỉ:",""
"Choose from menu:","Chọn từ menu:",""
"Cancelled.","Đã hủy.",""
"Cancelled.\n\nPlease enter **Employee Number** (e.g. 31):","Đã hủy.\n\nVui lòng nhập **Mã nhân viên** (vd: 31):",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.","✅ Đã lưu Chat ID thành công!\n\nChat ID: `{0}`\n\nLàm mới biểu mẫu Telegram User Settings để xem giá trị đã lưu.",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.\n\nPlease enter **Employee Number** (e.g. 31):","✅ Đã lưu Chat ID thành công!\n\nChat ID: `{0}`\n\nLàm mới biểu mẫu Telegram User Settings để xem giá trị đã lưu.\n\nVui lòng nhập **Mã nhân viên** (vd: 31):",""
"⚠️ Unknown token. Make sure it was created in Telegram User Settings and linked to the same bot (Telegram Settings with Interactive Bot enabled).\n\nTry again or press **Cancel**:","⚠️ Token không xác định. Đảm bảo đã tạo trong Telegram User Settings và liên kết với cùng bot (Telegram Settings có bật Interactive Bot).\n\nThử lại hoặc nhấn **Hủy**:",""
"Please send the token only (40 chars) or press **Cancel**:","Vui lòng chỉ gửi token (40 ký tự) hoặc nhấn **Hủy**:",""
"⚠️ I didn't understand. Send /start to begin again.","⚠️ Tôi không hiểu. Gửi /start để bắt đầu lại.",""
"📅 Use the calendar above to select, or send **Cancel** to cancel.","📅 Sử dụng lịch ở trên để chọn, hoặc gửi **Hủy** để hủy.",""
"✅ Start: {0}\n\n📅 End date:","✅ Bắt đầu: {0}\n\n📅 Ngày kết thúc:",""
"⏳ Verifying...","⏳ Đang xác minh...",""
"❌ No leave types available.","❌ Không có loại nghỉ phép.",""
"👇 Leave type:","👇 Loại nghỉ phép:",""
"❌ Choose leave type from the list:","❌ Chọn loại nghỉ phép từ danh sách:",""
"Duration:","Thời lượng:",""
"❌ Choose from list:","❌ Chọn từ danh sách:",""
"Leave reason (or 'Skip'):","Lý do nghỉ (hoặc 'Bỏ qua'):",""
"⏳ Submitting...","⏳ Đang gửi...",""
"❌ Failed: {0}","❌ Thất bại: {0}",""
"✅ Submitted: {0}","✅ Đã gửi: {0}",""
"⚠️ An error occurred. Please try again.","⚠️ Đã xảy ra lỗi. Vui lòng thử lại.",""
"⛔ Attendance already marked for this day.","⛔ Chấm công đã được ghi nhận cho ngày này.",""
"Date is outside leave allocation period.","Ngày ngoài kỳ phân bổ nghỉ phép.",""
"Insufficient leave balance.","Số dư nghỉ phép không đủ.",""
"⛔ Leave application already exists for this period.","⛔ Đơn xin nghỉ đã tồn tại cho kỳ này.",""
"An unknown error occurred.","Đã xảy ra lỗi không xác định.",""
