"source_string","translated_string","context"
"Welcome back, {0} 👋","다시 오신 것을 환영합니다, {0} 👋",""
"Hello! 👋\n\nPlease enter your **Employee Number** only (e.g. 31)\nor press **Link Token** to link your account:","안녕하세요! 👋\n\n**사원 번호**만 입력하세요 (예: 31)\n또는 **토큰 연결**을 눌러 계정을 연결하세요:",""
"🔗 Send the **Token** from Telegram User Settings (copy and paste here):\n\nOr press **Cancel** to go back.","🔗 Telegram User Settings에서 **토큰**을 보내세요 (여기에 복사하여 붙여넣기):\n\n또는 **취소**를 눌러 돌아가세요.",""
"❌ Numbers only (e.g. 31)\nor press **Link Token** to link your account:","❌ 숫자만 입력 (예: 31)\n또는 **토큰 연결**을 눌러 계정을 연결하세요:",""
"⏳ Searching...","⏳ 검색 중...",""
"❌ Employee not found. Try again\nor press **Link Token** to link your account:","❌ 직원을 찾을 수 없습니다. 다시 시도하세요\n또는 **토큰 연결**을 눌러 계정을 연결하세요:",""
"Hello {0} ({1}).\n🔒 Enter **password**:","안녕하세요 {0} ({1}).\n🔒 **비밀번호**를 입력하세요:",""
"✅ Logged in.\nHello {0}","✅ 로그인되었습니다.\n안녕하세요 {0}",""
"❌ Wrong password. /start","❌ 잘못된 비밀번호입니다. /start",""
"Logged out 👋","로그아웃되었습니다 👋",""
"📅 Leave start date:","📅 휴가 시작일:",""
"Choose from menu:","메뉴에서 선택:",""
"Cancelled.","취소되었습니다.",""
"Cancelled.\n\nPlease enter **Employee Number** (e.g. 31):","취소되었습니다.\n\n**사원 번호**를 입력하세요 (예: 31):",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.","✅ Chat ID가 성공적으로 저장되었습니다!\n\nChat ID: `{0}`\n\n저장된 값을 보려면 Telegram User Settings 양식을 새로 고치세요.",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.\n\nPlease enter **Employee Number** (e.g. 31):","✅ Chat ID가 성공적으로 저장되었습니다!\n\nChat ID: `{0}`\n\n저장된 값을 보려면 Telegram User Settings 양식을 새로 고치세요.\n\n**사원 번호**를 입력하세요 (예: 31):",""
"⚠️ Unknown token. Make sure it was created in Telegram User Settings and linked to the same bot (Telegram Settings with Interactive Bot enabled).\n\nTry again or press **Cancel**:","⚠️ 알 수 없는 토큰입니다. Telegram User Settings에서 생성되고 동일한 봇(Interactive Bot가 활성화된 Telegram Settings)에 연결되었는지 확인하세요.\n\n다시 시도하거나 **취소**를 누르세요:",""
"Please send the token only (40 chars) or press **Cancel**:","토큰만(40자) 보내거나 **취소**를 누르세요:",""
"⚠️ I didn't understand. Send /start to begin again.","⚠️ 이해하지 못했습니다. 다시 시작하려면 /start를 보내세요.",""
"📅 Use the calendar above to select, or send **Cancel** to cancel.","📅 위의 달력을 사용하여 선택하거나 **취소**를 보내 취소하세요.",""
"✅ Start: {0}\n\n📅 End date:","✅ 시작: {0}\n\n📅 종료일:",""
"⏳ Verifying...","⏳ 확인 중...",""
"❌ No leave types available.","❌ 사용 가능한 휴가 유형이 없습니다.",""
"👇 Leave type:","👇 휴가 유형:",""
"❌ Choose leave type from the list:","❌ 목록에서 휴가 유형을 선택하세요:",""
"Duration:","기간:",""
"❌ Choose from list:","❌ 목록에서 선택:",""
"Leave reason (or 'Skip'):","휴가 사유 (또는 '건너뛰기'):",""
"⏳ Submitting...","⏳ 제출 중...",""
"❌ Failed: {0}","❌ 실패: {0}",""
"✅ Submitted: {0}","✅ 제출됨: {0}",""
"⚠️ An error occurred. Please try again.","⚠️ 오류가 발생했습니다. 다시 시도하세요.",""
"⛔ Attendance already marked for this day.","⛔ 이 날짜의 출근이 이미 기록되었습니다.",""
"Date is outside leave allocation period.","날짜가 휴가 배정 기간을 벗어났습니다.",""
"Insufficient leave balance.","휴가 잔액이 부족합니다.",""
"⛔ Leave application already exists for this period.","⛔ 이 기간에 대한 휴가 신청이 이미 존재합니다.",""
"An unknown error occurred.","알 수 없는 오류가 발생했습니다.",""
