"source_string","translated_string","context"
"Welcome back, {0} 👋","С возвращением, {0} 👋",""
"Hello! 👋\n\nPlease enter your **Employee Number** only (e.g. 31)\nor press **Link Token** to link your account:","Здравствуйте! 👋\n\nВведите только **Номер сотрудника** (напр. 31)\nили нажмите **Связать токен** для привязки аккаунта:",""
"🔗 Send the **Token** from Telegram User Settings (copy and paste here):\n\nOr press **Cancel** to go back.","🔗 Отправьте **Токен** из Telegram User Settings (скопируйте и вставьте сюда):\n\nИли нажмите **Отмена** для возврата.",""
"❌ Numbers only (e.g. 31)\nor press **Link Token** to link your account:","❌ Только цифры (напр. 31)\nили нажмите **Связать токен** для привязки аккаунта:",""
"⏳ Searching...","⏳ Поиск...",""
"❌ Employee not found. Try again\nor press **Link Token** to link your account:","❌ Сотрудник не найден. Попробуйте снова\nили нажмите **Связать токен** для привязки аккаунта:",""
"Hello {0} ({1}).\n🔒 Enter **password**:","Здравствуйте {0} ({1}).\n🔒 Введите **пароль**:",""
"✅ Logged in.\nHello {0}","✅ Вход выполнен.\nЗдравствуйте {0}",""
"❌ Wrong password. /start","❌ Неверный пароль. /start",""
"Logged out 👋","Выход выполнен 👋",""
"📅 Leave start date:","📅 Дата начала отпуска:",""
"Choose from menu:","Выберите из меню:",""
"Cancelled.","Отменено.",""
"Cancelled.\n\nPlease enter **Employee Number** (e.g. 31):","Отменено.\n\nВведите **Номер сотрудника** (напр. 31):",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.","✅ Chat ID успешно сохранён!\n\nChat ID: `{0}`\n\nОбновите форму Telegram User Settings, чтобы увидеть сохранённое значение.",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.\n\nPlease enter **Employee Number** (e.g. 31):","✅ Chat ID успешно сохранён!\n\nChat ID: `{0}`\n\nОбновите форму Telegram User Settings, чтобы увидеть сохранённое значение.\n\nВведите **Номер сотрудника** (напр. 31):",""
"⚠️ Unknown token. Make sure it was created in Telegram User Settings and linked to the same bot (Telegram Settings with Interactive Bot enabled).\n\nTry again or press **Cancel**:","⚠️ Неизвестный токен. Убедитесь, что он создан в Telegram User Settings и привязан к тому же боту (Telegram Settings с включённым Interactive Bot).\n\nПопробуйте снова или нажмите **Отмена**:",""
"Please send the token only (40 chars) or press **Cancel**:","Отправьте только токен (40 символов) или нажмите **Отмена**:",""
"⚠️ I didn't understand. Send /start to begin again.","⚠️ Я не понял. Отправьте /start, чтобы начать заново.",""
"📅 Use the calendar above to select, or send **Cancel** to cancel.","📅 Используйте календарь выше для выбора или отправьте **Отмена** для отмены.",""
"✅ Start: {0}\n\n📅 End date:","✅ Начало: {0}\n\n📅 Дата окончания:",""
"⏳ Verifying...","⏳ Проверка...",""
"❌ No leave types available.","❌ Нет доступных типов отпуска.",""
"👇 Leave type:","👇 Тип отпуска:",""
"❌ Choose leave type from the list:","❌ Выберите тип отпуска из списка:",""
"Duration:","Продолжительность:",""
"❌ Choose from list:","❌ Выберите из списка:",""
"Leave reason (or 'Skip'):","Причина отпуска (или 'Пропустить'):",""
"⏳ Submitting...","⏳ Отправка...",""
"❌ Failed: {0}","❌ Ошибка: {0}",""
"✅ Submitted: {0}","✅ Отправлено: {0}",""
"⚠️ An error occurred. Please try again.","⚠️ Произошла ошибка. Попробуйте снова.",""
"⛔ Attendance already marked for this day.","⛔ Посещаемость уже отмечена на этот день.",""
"Date is outside leave allocation period.","Дата вне периода выделения отпуска.",""
"Insufficient leave balance.","Недостаточный баланс отпуска.",""
"⛔ Leave application already exists for this period.","⛔ Заявление на отпуск уже существует на этот период.",""
"An unknown error occurred.","Произошла неизвестная ошибка.",""
