"source_string","translated_string","context"
"Welcome back, {0} 👋","Bienvenido de nuevo, {0} 👋",""
"Hello! 👋\n\nPlease enter your **Employee Number** only (e.g. 31)\nor press **Link Token** to link your account:","¡Hola! 👋\n\nIntroduce solo tu **Número de Empleado** (ej. 31)\no pulsa **Vincular token** para vincular tu cuenta:",""
"🔗 Send the **Token** from Telegram User Settings (copy and paste here):\n\nOr press **Cancel** to go back.","🔗 Envía el **Token** de Telegram User Settings (cópialo y pégalo aquí):\n\nO pulsa **Cancelar** para volver.",""
"❌ Numbers only (e.g. 31)\nor press **Link Token** to link your account:","❌ Solo números (ej. 31)\no pulsa **Vincular token** para vincular tu cuenta:",""
"⏳ Searching...","⏳ Buscando...",""
"❌ Employee not found. Try again\nor press **Link Token** to link your account:","❌ Empleado no encontrado. Inténtalo de nuevo\no pulsa **Vincular token** para vincular tu cuenta:",""
"Hello {0} ({1}).\n🔒 Enter **password**:","Hola {0} ({1}).\n🔒 Introduce la **contraseña**:",""
"✅ Logged in.\nHello {0}","✅ Sesión iniciada.\nHola {0}",""
"❌ Wrong password. /start","❌ Contraseña incorrecta. /start",""
"Logged out 👋","Sesión cerrada 👋",""
"📅 Leave start date:","📅 Fecha de inicio del permiso:",""
"Choose from menu:","Elige del menú:",""
"Cancelled.","Cancelado.",""
"Cancelled.\n\nPlease enter **Employee Number** (e.g. 31):","Cancelado.\n\nIntroduce el **Número de Empleado** (ej. 31):",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.","✅ ¡Chat ID guardado correctamente!\n\nChat ID: `{0}`\n\nActualiza el formulario Telegram User Settings para ver el valor guardado.",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.\n\nPlease enter **Employee Number** (e.g. 31):","✅ ¡Chat ID guardado correctamente!\n\nChat ID: `{0}`\n\nActualiza el formulario Telegram User Settings para ver el valor guardado.\n\nIntroduce el **Número de Empleado** (ej. 31):",""
"⚠️ Unknown token. Make sure it was created in Telegram User Settings and linked to the same bot (Telegram Settings with Interactive Bot enabled).\n\nTry again or press **Cancel**:","⚠️ Token desconocido. Asegúrate de que fue creado en Telegram User Settings y vinculado al mismo bot (Telegram Settings con Interactive Bot habilitado).\n\nInténtalo de nuevo o pulsa **Cancelar**:",""
"Please send the token only (40 chars) or press **Cancel**:","Envía solo el token (40 caracteres) o pulsa **Cancelar**:",""
"⚠️ I didn't understand. Send /start to begin again.","⚠️ No entendí. Envía /start para comenzar de nuevo.",""
"📅 Use the calendar above to select, or send **Cancel** to cancel.","📅 Usa el calendario de arriba para seleccionar, o envía **Cancelar** para cancelar.",""
"✅ Start: {0}\n\n📅 End date:","✅ Inicio: {0}\n\n📅 Fecha de fin:",""
"⏳ Verifying...","⏳ Verificando...",""
"❌ No leave types available.","❌ No hay tipos de permiso disponibles.",""
"👇 Leave type:","👇 Tipo de permiso:",""
"❌ Choose leave type from the list:","❌ Elige el tipo de permiso de la lista:",""
"Duration:","Duración:",""
"❌ Choose from list:","❌ Elige de la lista:",""
"Leave reason (or 'Skip'):","Motivo del permiso (o 'Omitir'):",""
"⏳ Submitting...","⏳ Enviando...",""
"❌ Failed: {0}","❌ Error: {0}",""
"✅ Submitted: {0}","✅ Enviado: {0}",""
"⚠️ An error occurred. Please try again.","⚠️ Ocurrió un error. Por favor, inténtalo de nuevo.",""
"⛔ Attendance already marked for this day.","⛔ Ya existe registro de asistencia para este día.",""
"Date is outside leave allocation period.","La fecha está fuera del período de asignación de permisos.",""
"Insufficient leave balance.","Saldo de permisos insuficiente.",""
"⛔ Leave application already exists for this period.","⛔ Ya existe una solicitud de permiso para este período.",""
"An unknown error occurred.","Ocurrió un error desconocido.",""
