"source_string","translated_string","context"
"Welcome back, {0} 👋","Willkommen zurück, {0} 👋",""
"Hello! 👋\n\nPlease enter your **Employee Number** only (e.g. 31)\nor press **Link Token** to link your account:","Hallo! 👋\n\nBitte geben Sie nur Ihre **Mitarbeiternummer** ein (z.B. 31)\noder drücken Sie **Token verknüpfen**, um Ihr Konto zu verknüpfen:",""
"🔗 Send the **Token** from Telegram User Settings (copy and paste here):\n\nOr press **Cancel** to go back.","🔗 Senden Sie den **Token** aus Telegram User Settings (hier einfügen):\n\nOder drücken Sie **Abbrechen**, um zurückzugehen.",""
"❌ Numbers only (e.g. 31)\nor press **Link Token** to link your account:","❌ Nur Zahlen (z.B. 31)\noder drücken Sie **Token verknüpfen**, um Ihr Konto zu verknüpfen:",""
"⏳ Searching...","⏳ Suche...",""
"❌ Employee not found. Try again\nor press **Link Token** to link your account:","❌ Mitarbeiter nicht gefunden. Versuchen Sie es erneut\noder drücken Sie **Token verknüpfen**, um Ihr Konto zu verknüpfen:",""
"Hello {0} ({1}).\n🔒 Enter **password**:","Hallo {0} ({1}).\n🔒 Geben Sie das **Passwort** ein:",""
"✅ Logged in.\nHello {0}","✅ Angemeldet.\nHallo {0}",""
"❌ Wrong password. /start","❌ Falsches Passwort. /start",""
"Logged out 👋","Abgemeldet 👋",""
"📅 Leave start date:","📅 Urlaubsbeginn:",""
"Choose from menu:","Wählen Sie aus dem Menü:",""
"Cancelled.","Abgebrochen.",""
"Cancelled.\n\nPlease enter **Employee Number** (e.g. 31):","Abgebrochen.\n\nBitte geben Sie die **Mitarbeiternummer** ein (z.B. 31):",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.","✅ Chat-ID erfolgreich gespeichert!\n\nChat-ID: `{0}`\n\nAktualisieren Sie das Telegram User Settings-Formular, um den gespeicherten Wert zu sehen.",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.\n\nPlease enter **Employee Number** (e.g. 31):","✅ Chat-ID erfolgreich gespeichert!\n\nChat-ID: `{0}`\n\nAktualisieren Sie das Telegram User Settings-Formular, um den gespeicherten Wert zu sehen.\n\nBitte geben Sie die **Mitarbeiternummer** ein (z.B. 31):",""
"⚠️ Unknown token. Make sure it was created in Telegram User Settings and linked to the same bot (Telegram Settings with Interactive Bot enabled).\n\nTry again or press **Cancel**:","⚠️ Unbekannter Token. Stellen Sie sicher, dass er in Telegram User Settings erstellt und mit demselben Bot verknüpft wurde (Telegram Settings mit Interactive Bot aktiviert).\n\nVersuchen Sie es erneut oder drücken Sie **Abbrechen**:",""
"Please send the token only (40 chars) or press **Cancel**:","Bitte senden Sie nur den Token (40 Zeichen) oder drücken Sie **Abbrechen**:",""
"⚠️ I didn't understand. Send /start to begin again.","⚠️ Ich habe nicht verstanden. Senden Sie /start, um neu zu beginnen.",""
"📅 Use the calendar above to select, or send **Cancel** to cancel.","📅 Verwenden Sie den Kalender oben zur Auswahl oder senden Sie **Abbrechen** zum Abbrechen.",""
"✅ Start: {0}\n\n📅 End date:","✅ Beginn: {0}\n\n📅 Enddatum:",""
"⏳ Verifying...","⏳ Überprüfung...",""
"❌ No leave types available.","❌ Keine Urlaubstypen verfügbar.",""
"👇 Leave type:","👇 Urlaubstyp:",""
"❌ Choose leave type from the list:","❌ Wählen Sie den Urlaubstyp aus der Liste:",""
"Duration:","Dauer:",""
"❌ Choose from list:","❌ Wählen Sie aus der Liste:",""
"Leave reason (or 'Skip'):","Urlaubsgrund (oder 'Überspringen'):",""
"⏳ Submitting...","⏳ Wird gesendet...",""
"❌ Failed: {0}","❌ Fehlgeschlagen: {0}",""
"✅ Submitted: {0}","✅ Eingereicht: {0}",""
"⚠️ An error occurred. Please try again.","⚠️ Ein Fehler ist aufgetreten. Bitte versuchen Sie es erneut.",""
"⛔ Attendance already marked for this day.","⛔ Anwesenheit für diesen Tag bereits erfasst.",""
"Date is outside leave allocation period.","Das Datum liegt außerhalb des Urlaubszeitraums.",""
"Insufficient leave balance.","Unzureichendes Urlaubsguthaben.",""
"⛔ Leave application already exists for this period.","⛔ Urlaubsantrag für diesen Zeitraum existiert bereits.",""
"An unknown error occurred.","Ein unbekannter Fehler ist aufgetreten.",""
