"source_string","translated_string","context"
"Welcome back, {0} 👋","আবার স্বাগতম, {0} 👋",""
"Hello! 👋\n\nPlease enter your **Employee Number** only (e.g. 31)\nor press **Link Token** to link your account:","হ্যালো! 👋\n\nশুধুমাত্র আপনার **কর্মচারী নম্বর** লিখুন (যেমন 31)\nঅথবা আপনার অ্যাকাউন্ট লিঙ্ক করতে **টোকেন লিঙ্ক করুন** চাপুন:",""
"🔗 Send the **Token** from Telegram User Settings (copy and paste here):\n\nOr press **Cancel** to go back.","🔗 Telegram User Settings থেকে **টোকেন** পাঠান (এখানে কপি এবং পেস্ট করুন):\n\nঅথবা ফিরে যেতে **বাতিল** চাপুন।",""
"❌ Numbers only (e.g. 31)\nor press **Link Token** to link your account:","❌ শুধুমাত্র সংখ্যা (যেমন 31)\nঅথবা আপনার অ্যাকাউন্ট লিঙ্ক করতে **টোকেন লিঙ্ক করুন** চাপুন:",""
"⏳ Searching...","⏳ খুঁজছি...",""
"❌ Employee not found. Try again\nor press **Link Token** to link your account:","❌ কর্মচারী পাওয়া যায়নি। আবার চেষ্টা করুন\nঅথবা আপনার অ্যাকাউন্ট লিঙ্ক করতে **টোকেন লিঙ্ক করুন** চাপুন:",""
"Hello {0} ({1}).\n🔒 Enter **password**:","হ্যালো {0} ({1}).\n🔒 **পাসওয়ার্ড** লিখুন:",""
"✅ Logged in.\nHello {0}","✅ লগইন হয়েছে।\nহ্যালো {0}",""
"❌ Wrong password. /start","❌ ভুল পাসওয়ার্ড। /start",""
"Logged out 👋","লগআউট হয়েছে 👋",""
"📅 Leave start date:","📅 ছুটির শুরুর তারিখ:",""
"Choose from menu:","মেনু থেকে নির্বাচন করুন:",""
"Cancelled.","বাতিল করা হয়েছে।",""
"Cancelled.\n\nPlease enter **Employee Number** (e.g. 31):","বাতিল করা হয়েছে।\n\nকর্মচারী নম্বর লিখুন (যেমন 31):",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.","✅ Chat ID সফলভাবে সংরক্ষণ করা হয়েছে!\n\nChat ID: `{0}`\n\nসংরক্ষিত মান দেখতে Telegram User Settings ফর্ম রিফ্রেশ করুন।",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.\n\nPlease enter **Employee Number** (e.g. 31):","✅ Chat ID সফলভাবে সংরক্ষণ করা হয়েছে!\n\nChat ID: `{0}`\n\nসংরক্ষিত মান দেখতে Telegram User Settings ফর্ম রিফ্রেশ করুন।\n\nকর্মচারী নম্বর লিখুন (যেমন 31):",""
"⚠️ Unknown token. Make sure it was created in Telegram User Settings and linked to the same bot (Telegram Settings with Interactive Bot enabled).\n\nTry again or press **Cancel**:","⚠️ অজানা টোকেন। নিশ্চিত করুন যে এটি Telegram User Settings এ তৈরি হয়েছে এবং একই বটের সাথে লিঙ্ক করা হয়েছে (Interactive Bot সক্ষম Telegram Settings)।\n\nআবার চেষ্টা করুন বা **বাতিল** চাপুন:",""
"Please send the token only (40 chars) or press **Cancel**:","শুধুমাত্র টোকেন পাঠান (৪০ অক্ষর) বা **বাতিল** চাপুন:",""
"⚠️ I didn't understand. Send /start to begin again.","⚠️ আমি বুঝতে পারিনি। আবার শুরু করতে /start পাঠান।",""
"📅 Use the calendar above to select, or send **Cancel** to cancel.","📅 নির্বাচন করতে উপরের ক্যালেন্ডার ব্যবহার করুন, বা বাতিল করতে **বাতিল** পাঠান।",""
"✅ Start: {0}\n\n📅 End date:","✅ শুরু: {0}\n\n📅 শেষ তারিখ:",""
"⏳ Verifying...","⏳ যাচাই করা হচ্ছে...",""
"❌ No leave types available.","❌ কোন ছুটির ধরন উপলব্ধ নেই।",""
"👇 Leave type:","👇 ছুটির ধরন:",""
"❌ Choose leave type from the list:","❌ তালিকা থেকে ছুটির ধরন নির্বাচন করুন:",""
"Duration:","সময়কাল:",""
"❌ Choose from list:","❌ তালিকা থেকে নির্বাচন করুন:",""
"Leave reason (or 'Skip'):","ছুটির কারণ (অথবা 'এড়িয়ে যান'):",""
"⏳ Submitting...","⏳ জমা দেওয়া হচ্ছে...",""
"❌ Failed: {0}","❌ ব্যর্থ: {0}",""
"✅ Submitted: {0}","✅ জমা দেওয়া হয়েছে: {0}",""
"⚠️ An error occurred. Please try again.","⚠️ একটি ত্রুটি ঘটেছে। আবার চেষ্টা করুন।",""
"⛔ Attendance already marked for this day.","⛔ এই দিনের উপস্থিতি ইতিমধ্যে চিহ্নিত করা হয়েছে।",""
"Date is outside leave allocation period.","তারিখ ছুটি বরাদ্দ সময়ের বাইরে।",""
"Insufficient leave balance.","অপর্যাপ্ত ছুটি ব্যালেন্স।",""
"⛔ Leave application already exists for this period.","⛔ এই সময়ের জন্য ছুটির আবেদন ইতিমধ্যে বিদ্যমান।",""
"An unknown error occurred.","একটি অজানা ত্রুটি ঘটেছে।",""
