"source_string","translated_string","context"
"Welcome back, {0} 👋","Welkom terug, {0} 👋",""
"Hello! 👋\n\nPlease enter your **Employee Number** only (e.g. 31)\nor press **Link Token** to link your account:","Hallo! 👋\n\nVoer alleen je **Medewerkersnummer** in (bijv. 31)\nof druk op **Token koppelen** om je account te koppelen:",""
"🔗 Send the **Token** from Telegram User Settings (copy and paste here):\n\nOr press **Cancel** to go back.","🔗 Stuur de **Token** van Telegram User Settings (kopieer en plak hier):\n\nOf druk op **Annuleren** om terug te gaan.",""
"❌ Numbers only (e.g. 31)\nor press **Link Token** to link your account:","❌ Alleen cijfers (bijv. 31)\nof druk op **Token koppelen** om je account te koppelen:",""
"⏳ Searching...","⏳ Zoeken...",""
"❌ Employee not found. Try again\nor press **Link Token** to link your account:","❌ Medewerker niet gevonden. Probeer opnieuw\nof druk op **Token koppelen** om je account te koppelen:",""
"Hello {0} ({1}).\n🔒 Enter **password**:","Hallo {0} ({1}).\n🔒 Voer het **wachtwoord** in:",""
"✅ Logged in.\nHello {0}","✅ Ingelogd.\nHallo {0}",""
"❌ Wrong password. /start","❌ Verkeerd wachtwoord. /start",""
"Logged out 👋","Uitgelogd 👋",""
"📅 Leave start date:","📅 Startdatum verlof:",""
"Choose from menu:","Kies uit het menu:",""
"Cancelled.","Geannuleerd.",""
"Cancelled.\n\nPlease enter **Employee Number** (e.g. 31):","Geannuleerd.\n\nVoer het **Medewerkersnummer** in (bijv. 31):",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.","✅ Chat ID succesvol opgeslagen!\n\nChat ID: `{0}`\n\nVervers het Telegram User Settings-formulier om de opgeslagen waarde te zien.",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.\n\nPlease enter **Employee Number** (e.g. 31):","✅ Chat ID succesvol opgeslagen!\n\nChat ID: `{0}`\n\nVervers het Telegram User Settings-formulier om de opgeslagen waarde te zien.\n\nVoer het **Medewerkersnummer** in (bijv. 31):",""
"⚠️ Unknown token. Make sure it was created in Telegram User Settings and linked to the same bot (Telegram Settings with Interactive Bot enabled).\n\nTry again or press **Cancel**:","⚠️ Onbekende token. Zorg ervoor dat deze is aangemaakt in Telegram User Settings en gekoppeld aan dezelfde bot (Telegram Settings met Interactive Bot ingeschakeld).\n\nProbeer opnieuw of druk op **Annuleren**:",""
"Please send the token only (40 chars) or press **Cancel**:","Stuur alleen de token (40 tekens) of druk op **Annuleren**:",""
"⚠️ I didn't understand. Send /start to begin again.","⚠️ Ik begreep het niet. Stuur /start om opnieuw te beginnen.",""
"📅 Use the calendar above to select, or send **Cancel** to cancel.","📅 Gebruik de kalender hierboven om te selecteren, of stuur **Annuleren** om te annuleren.",""
"✅ Start: {0}\n\n📅 End date:","✅ Start: {0}\n\n📅 Einddatum:",""
"⏳ Verifying...","⏳ Verifiëren...",""
"❌ No leave types available.","❌ Geen verlof types beschikbaar.",""
"👇 Leave type:","👇 Verlof type:",""
"❌ Choose leave type from the list:","❌ Kies het verlof type uit de lijst:",""
"Duration:","Duur:",""
"❌ Choose from list:","❌ Kies uit de lijst:",""
"Leave reason (or 'Skip'):","Reden verlof (of 'Overslaan'):",""
"⏳ Submitting...","⏳ Verzenden...",""
"❌ Failed: {0}","❌ Mislukt: {0}",""
"✅ Submitted: {0}","✅ Verzonden: {0}",""
"⚠️ An error occurred. Please try again.","⚠️ Er is een fout opgetreden. Probeer het opnieuw.",""
"⛔ Attendance already marked for this day.","⛔ Aanwezigheid voor deze dag al geregistreerd.",""
"Date is outside leave allocation period.","Datum valt buiten de verlof toewijzingsperiode.",""
"Insufficient leave balance.","Onvoldoende verlof saldo.",""
"⛔ Leave application already exists for this period.","⛔ Verlof aanvraag voor deze periode bestaat al.",""
"An unknown error occurred.","Er is een onbekende fout opgetreden.",""
