"source_string","translated_string","context"
"Welcome back, {0} 👋","Bentornato, {0} 👋",""
"Hello! 👋\n\nPlease enter your **Employee Number** only (e.g. 31)\nor press **Link Token** to link your account:","Ciao! 👋\n\nInserisci solo il tuo **Numero dipendente** (es. 31)\no premi **Collega token** per collegare il tuo account:",""
"🔗 Send the **Token** from Telegram User Settings (copy and paste here):\n\nOr press **Cancel** to go back.","🔗 Invia il **Token** da Telegram User Settings (copia e incolla qui):\n\nOppure premi **Annulla** per tornare indietro.",""
"❌ Numbers only (e.g. 31)\nor press **Link Token** to link your account:","❌ Solo numeri (es. 31)\no premi **Collega token** per collegare il tuo account:",""
"⏳ Searching...","⏳ Ricerca...",""
"❌ Employee not found. Try again\nor press **Link Token** to link your account:","❌ Dipendente non trovato. Riprova\no premi **Collega token** per collegare il tuo account:",""
"Hello {0} ({1}).\n🔒 Enter **password**:","Ciao {0} ({1}).\n🔒 Inserisci la **password**:",""
"✅ Logged in.\nHello {0}","✅ Accesso effettuato.\nCiao {0}",""
"❌ Wrong password. /start","❌ Password errata. /start",""
"Logged out 👋","Disconnesso 👋",""
"📅 Leave start date:","📅 Data inizio permesso:",""
"Choose from menu:","Scegli dal menu:",""
"Cancelled.","Annullato.",""
"Cancelled.\n\nPlease enter **Employee Number** (e.g. 31):","Annullato.\n\nInserisci il **Numero dipendente** (es. 31):",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.","✅ Chat ID salvato con successo!\n\nChat ID: `{0}`\n\nAggiorna il modulo Telegram User Settings per vedere il valore salvato.",""
"✅ Chat ID saved successfully!\n\nChat ID: `{0}`\n\nRefresh Telegram User Settings form to see the saved value.\n\nPlease enter **Employee Number** (e.g. 31):","✅ Chat ID salvato con successo!\n\nChat ID: `{0}`\n\nAggiorna il modulo Telegram User Settings per vedere il valore salvato.\n\nInserisci il **Numero dipendente** (es. 31):",""
"⚠️ Unknown token. Make sure it was created in Telegram User Settings and linked to the same bot (Telegram Settings with Interactive Bot enabled).\n\nTry again or press **Cancel**:","⚠️ Token sconosciuto. Assicurati che sia stato creato in Telegram User Settings e collegato allo stesso bot (Telegram Settings con Interactive Bot abilitato).\n\nRiprova o premi **Annulla**:",""
"Please send the token only (40 chars) or press **Cancel**:","Invia solo il token (40 caratteri) o premi **Annulla**:",""
"⚠️ I didn't understand. Send /start to begin again.","⚠️ Non ho capito. Invia /start per ricominciare.",""
"📅 Use the calendar above to select, or send **Cancel** to cancel.","📅 Usa il calendario sopra per selezionare, o invia **Annulla** per annullare.",""
"✅ Start: {0}\n\n📅 End date:","✅ Inizio: {0}\n\n📅 Data fine:",""
"⏳ Verifying...","⏳ Verifica...",""
"❌ No leave types available.","❌ Nessun tipo di permesso disponibile.",""
"👇 Leave type:","👇 Tipo di permesso:",""
"❌ Choose leave type from the list:","❌ Scegli il tipo di permesso dalla lista:",""
"Duration:","Durata:",""
"❌ Choose from list:","❌ Scegli dalla lista:",""
"Leave reason (or 'Skip'):","Motivo del permesso (o 'Salta'):",""
"⏳ Submitting...","⏳ Invio in corso...",""
"❌ Failed: {0}","❌ Errore: {0}",""
"✅ Submitted: {0}","✅ Inviato: {0}",""
"⚠️ An error occurred. Please try again.","⚠️ Si è verificato un errore. Riprova.",""
"⛔ Attendance already marked for this day.","⛔ Presenza già registrata per questo giorno.",""
"Date is outside leave allocation period.","La data è fuori dal periodo di allocazione dei permessi.",""
"Insufficient leave balance.","Saldo permessi insufficiente.",""
"⛔ Leave application already exists for this period.","⛔ Esiste già una richiesta di permesso per questo periodo.",""
"An unknown error occurred.","Si è verificato un errore sconosciuto.",""
